CODIGO,NOME,DOCUMENTO,CEP,CPF_SOCIO
27801658139326,Ester Souza,71320845000102,05286619,31059786400
27801658139326,Ester Souza,71320845000102,05286619,82061754317
27801658139326,Ester Souza,71320845000102,05286619,06953712821
35516007873662,Danilo da Cruz,54728061000107,85066580,37420586144
35516007873662,Danilo da Cruz,54728061000107,85066580,32450819606
35516007873662,Danilo da Cruz,54728061000107,85066580,91587306484
35516007873662,Danilo da Cruz,54728061000107,85066580,62391408560
35516007873662,Danilo da Cruz,54728061000107,85066580,02584716976
35516007873662,Danilo da Cruz,54728061000107,85066580,47516820326
15790453733562,Sr. Ravi Lucca Andrade,82369174000190,59270461,67195243052
15790453733562,Sr. Ravi Lucca Andrade,82369174000190,59270461,73504192879
51203884372060,Vitória Cirino,95167823000112,81632525,17592843609
51203884372060,Vitória Cirino,95167823000112,81632525,81073496287
73244044574467,Isis Cirino,53928074000159,06980598,94703182696
73244044574467,Isis Cirino,53928074000159,06980598,29034685756
57760610634235,Otto Fernandes,76395281000190,46610173,78491035648
57760610634235,Otto Fernandes,76395281000190,46610173,89657103401
57760610634235,Otto Fernandes,76395281000190,46610173,12876590395
83755836674209,Antônio Moraes,42985736000106,07604107,15803296406
83755836674209,Antônio Moraes,42985736000106,07604107,30891647287
83755836674209,Antônio Moraes,42985736000106,07604107,60817493204
83755836674209,Antônio Moraes,42985736000106,07604107,23879014523
83755836674209,Antônio Moraes,42985736000106,07604107,60972314580
83755836674209,Antônio Moraes,42985736000106,07604107,60752143999
20331057700558,Matteo Azevedo,87215460000115,34899140,61308247931
20331057700558,Matteo Azevedo,87215460000115,34899140,36018594757
79694372349300,Davi Miguel Aparecida,52108364000193,21029951,31659870410
79694372349300,Davi Miguel Aparecida,52108364000193,21029951,89731056203
79694372349300,Davi Miguel Aparecida,52108364000193,21029951,34271859664
79694372349300,Davi Miguel Aparecida,52108364000193,21029951,67918354273
63961284908384,João Gabriel da Costa,19507324000149,33905758,96071532868
63961284908384,João Gabriel da Costa,19507324000149,33905758,67351284008
12029701539713,Josué da Cruz,19032456000161,58798810,69831520424
12029701539713,Josué da Cruz,19032456000161,58798810,26578014390
12029701539713,Josué da Cruz,19032456000161,58798810,92136540815
12029701539713,Josué da Cruz,19032456000161,58798810,63127458991
